Sample ID,Depth (Cm),PH (1:1),ECe (1:1)(mS/cm),OM %,P (ppm),,
122643,O,7.6,0.26,0.5,6.5,,
122643,I,7.7,0.25,0.6,6,,
110769,O,8.1,0.81,0.5,5.8,,
110769,I,8,0.98,0.5,5,,
123668,O,7.9,0.53,0.4,6.9,,
123668,I,7.9,0.5,0.4,6.4,,
110889,O,7.9,0.43,0.6,4.8,,
110889,I,8.1,0.4,0.6,5.5,,
123981,O,7.8,0.7,0.5,6.5,,
123981,I,7.9,0.68,0.5,7,,
123977,O,7.7,0.33,0.5,7.7,,
123977,I,7.7,0.3,0.4,8.1,,
124186,O,7.8,0.27,0.5,6.1,,
124186,I,7.8,0.26,0.5,6,,
124003,O,7.6,0.16,0.4,4.5,,
124003,I,7.6,0.13,0.4,5,,
123971,O,7.8,7.3,0.8,9,,
123971,I,7.8,7.3,0.8,0.8,,
123966,O,7.8,0.43,0.6,6.9,,
123966,I,7.8,0.41,0.6,7.2,,
123456,O,7.9,0.31,0.7,8.6,,
123456,I,7.8,0.28,0.6,8,,
123097,O,7.9,0.29,0.5,6.6,,
123097,I,7.9,0.3,0.5,6.3,,
123457,O,7.8,0.25,0.4,5.7,,
123457,I,7.8,0.23,0.4,3.3,,
123450,O,7.5,0.27,0.5,7.3,,
123450,I,7.6,0.25,0.5,7,,
123840,O,7.6,0.28,0.6,6.5,,
123840,I,7.6,0.26,0.4,6.2,,
123355,O,7.5,0.28,0.5,5.1,,
123355,I,7.5,0.28,0.5,5.4,,
123354,O,8.2,0.21,0.4,6.9,,
123354,I,8.1,0.2,0.5,7,,
123091,O,8.1,0.19,0.5,7.1,,
123091,I,8,0.18,0.5,6.6,,
123095,O,7.8,0.2,0.5,5.4,,
123095,I,7.8,0.22,0.4,4.3,,
123453,O,7.8,0.31,0.6,4.8,,
123453,I,7.6,0.3,0.6,5,,
123339,O,7.7,0.19,0.5,5.4,,
123339,I,7.6,0.21,0.6,6,,
123365,O,7.8,0.51,0.5,7.1,,
123365,I,7.8,0.49,0.5,6.8,,
123455,O,7.6,0.4,0.4,5.5,,
123455,I,7.7,0.38,0.6,6,,
122626,O,7.7,0.5,0.5,7.1,,
122626,I,7.7,0.49,0.5,6.6,,
122764,O,7.8,0.33,0.5,5.4,,
122764,I,7.8,0.3,0.4,4.3,,
122625,O,7.8,0.66,0.5,5.4,,
122625,I,7.9,0.68,0.5,6,,
122816,O,7.7,1.24,0.6,7.1,,
122816,I,7.5,1.27,0.5,6.8,,
122707,O,7.7,1.94,0.5,5.5,,
122707,I,7.6,1.92,0.6,6,,
122712,O,7.8,0.98,0.6,6.5,,
122712,I,8,0.96,0.5,6.1,,
122698,O,7.7,9.1,0.3,4.1,,
122698,I,7.7,9.3,0.4,3.7,,
122699,O,7.8,15.1,0.4,3.6,,
122699,I,7.9,15.6,0.4,5.1,,
122339,O,7.7,1.45,0.6,3.9,,
122339,I,7.7,1.4,0.5,5.1,,
122749,O,7.9,1.15,0.6,4.6,,
122749,I,7.9,1.12,0.5,5.8,,
122711,O,7.9,0.96,0.6,7.1,,
122711,I,7.8,0.93,0.7,6.6,,
122708,O,7.5,1.21,0.5,4.8,,
122708,I,7.5,1.19,0.4,5,,
122817,O,7.8,1.05,0.7,5.4,,
122817,I,7.8,0.94,0.6,6,,
122719,O,7.8,0.16,0.4,7.1,,
122719,I,7.8,0.23,0.5,6.8,,
122813,O,7.8,1.3,0.7,5.5,,
122813,I,7.6,1.34,0.6,6,,
122728,O,7.7,0.2,0.5,6.5,,
122728,I,7.6,0.19,0.4,6.1,,
122814,O,7.8,0.51,0.6,7.2,,
122814,I,7.8,0.5,0.6,7,,
122854,O,7.9,1.07,0.7,6.2,,
122854,I,7.9,1.01,0.6,8.1,,
110644,O,8.2,0.34,0.7,6.9,,
110644,I,8.2,0.31,0.7,5.8,,
123699,O,7.7,0.3,0.6,5.7,,
123699,I,7.7,0.28,0.5,7.1,,
123975,O,8.1,0.58,0.5,6.6,,
123975,I,8,0.6,0.4,5.4,,
123962,O,7.7,0.6,0.7,4.3,,
123962,I,7.7,0.58,0.6,4.8,,
123992,O,7.9,0.52,0.4,5,,
123992,I,7.9,0.5,0.5,5.4,,
123701,O,7.9,1,0.5,6,,
123701,I,7.9,0.93,0.6,7.1,,
123953,O,8,0.97,0.4,6.8,,
123953,I,8.1,0.92,0.4,5.5,,
110640,O,8,1.6,0.5,6,,
110640,I,8,1.66,0.4,6.5,,
123680,O,7.9,0.32,0.5,6.1,,
123680,I,7.9,0.3,0.5,7.2,,
110645,O,8,0.27,0.4,7,,
110645,I,8,0.21,0.4,7.1,,
123987,O,7.9,1.5,0.6,6.6,,
123987,I,7.9,1.47,0.6,5.4,,
110870,O,7.8,1.2,0.3,4.3,,
110870,I,7.8,1.18,0.5,4.8,,
110763,O,8.3,0.41,0.5,5,,
110763,I,8.3,0.4,0.3,5.4,,
110866,O,8.06,0.2,0.5,6,,
110866,I,8,0.21,0.5,7.1,,
123959,O,8.2,0.55,0.3,6.8,,
123959,I,8.2,0.48,0.3,5.5,,
123966,O,7.9,0.27,0.5,6,,
123966,I,7.9,0.3,0.4,6.5,,
123981,O,8,0.49,0.5,6.1,,
123981,I,8,0.48,0.5,7.2,,
123004,O,8.1,0.66,0.3,7,,
123004,I,8.1,0.63,0.4,7.7,,
124056,O,7.9,0.86,0.5,5.8,,
124056,I,7.9,0.84,0.5,4.5,,
110644,O,7.8,1.23,0.5,3.5,,
110644,I,7.8,1.2,0.5,3.2,,
123988,O,7.9,0.42,0.5,4.2,,
123988,I,7.9,0.48,0.4,5.2,,
123985,O,7.9,0.25,0.5,3.5,,
123985,I,7.8,0.22,0.5,4.5,,
123700,O,8,0.43,0.5,4.5,,
123700,I,8,0.4,0.4,5.3,,
109811,O,8.3,0.64,0.5,5.4,,
109811,I,8.3,0.63,0.5,6.2,,
110061,O,8,0.19,0.3,6.3,,
110061,I,8,0.16,0.4,6.2,,
110062,O,8.2,0.16,0.3,5.4,,
110062,I,8.2,0.14,0.5,4.3,,
110065,O,8.2,0.27,0.4,5.5,,
110065,I,8,0.24,0.5,5,,
110994,O,7.7,0.13,0.5,4.3,,
110994,I,7.5,0.12,0.5,4,,
109481,O,7.8,0.27,0.3,6.1,,
109481,I,7.8,0.25,0.5,5.7,,
110737,O,8,0.12,0.5,5.2,,
110737,I,7.9,0.13,0.5,5.9,,
110774,O,7.9,0.26,0.5,5.3,,
110774,I,7.9,0.24,0.3,4.4,,
110119,O,7.7,0.22,0.5,5.2,,
110119,I,7.6,0.21,0.2,5.6,,
110991,O,7.8,0.22,0.5,4.3,,
110991,I,7.8,0.2,0.5,5.1,,
110775,O,7.7,0.2,0.5,5.5,,
110775,I,7.5,0.18,0.3,4.4,,
110893,O,8.3,0.26,0.5,5.3,,
110893,I,8.4,0.22,0.5,5.1,,
110895,O,8.2,0.12,0.5,4.8,,
110895,I,8.4,0.13,0.5,4.6,,
110735,O,8.1,0.13,0.3,5.8,,
110735,I,8,0.15,0.5,6.1,,
122791,O,7.9,0.72,0.2,5.5,,
122791,I,7.9,0.71,0.5,5.7,,
122838,O,7.8,0.95,0.5,5.1,,
122838,I,7.8,0.85,0.5,5.6,,
110738,O,7.9,0.13,0.3,4.3,,
110738,I,7.9,0.14,0.5,4.8,,
110987,O,7.9,0.17,0.5,4.7,,
110987,I,7.8,0.18,0.5,5.3,,
123054,O,8.1,0.5,0.5,4.9,,
123054,I,8.1,0.48,0.3,8.3,,
122633,O,8,1.26,0.5,6.1,,
122633,I,7.9,1.25,0.2,4.3,,
122905,O,7.9,0.21,0.5,5.8,,
122905,I,7.8,0.24,0.4,6.8,,
122769,O,7.7,0.43,0.5,7,,
122769,I,7.7,0.42,0.5,7.4,,
122759,O,7.8,2.3,0.6,5.4,,
122759,I,7.9,2.4,0.5,6.9,,
123057,O,8.3,0.34,0.5,3.6,,
123057,I,8.2,0.31,0.5,6.5,,
122977,O,7.9,0.9,0.6,5.1,,
122977,I,7.9,0.88,0.5,4.5,,
122791,O,8.1,0.93,0.4,4.1,,
122791,I,8,0.92,0.6,3.6,,
122886,O,8,0.62,0.4,5.3,,
122886,I,7.9,0.64,0.6,5.5,,
122908,O,7.8,1.34,0.6,7.4,,
122908,I,7.9,1.36,0.7,7,,
122760,O,8.1,1.17,0.5,6.2,,
122760,I,8.1,1.16,0.4,6,,
122943,O,8,0.58,0.4,6.2,,
122943,I,8,0.57,0.5,6.3,,
122910,O,8,0.74,0.6,5.4,,
122910,I,8.1,0.72,0.6,5.4,,
122911,O,8,0.25,0.5,5.3,,
122911,I,8.1,0.23,0.6,5.5,,
122636,O,8.2,0.38,0.4,5,,
122636,I,8.3,0.36,0.3,4.3,,
122894,O,8.2,0.67,0.3,5.5,,
122894,I,8.2,0.64,0.4,6.1,,
122637,O,8,1.56,0.5,5.7,,
122637,I,8,1.54,0.5,5.2,,
122904,O,8,0.21,0.4,5.9,,
122904,I,7.9,0.2,0.5,5.3,,
122879,O,8,0.7,0.4,4.4,,
122879,I,8,0.68,0.6,5.2,,
122643,O,8.1,0.58,0.4,5.6,,
122643,I,8.2,0.55,0.5,4.3,,
122896,O,7.5,1.52,0.7,5.1,,
122896,I,7.6,1.5,0.6,5.5,,
122841,O,7.6,0.61,0.6,4.4,,
122841,I,7.7,0.6,0.6,5.3,,
122847,O,7.7,0.43,0.8,6.2,,
122847,I,7.7,0.46,0.6,5.8,,
111021,O,7.6,0.11,0.4,6.1,,
111021,I,7.8,0.12,0.5,5.5,,
110774,O,7.9,0.16,0.5,5.7,,
110774,I,7.8,0.15,0.5,5.1,,
110734,O,8.2,0.17,0.5,5.6,,
110734,I,8.3,0.14,0.4,5.3,,
122943,O,7.8,1.09,0.6,4.8,,
122943,I,7.8,1.11,0.7,4.7,,
110992,O,7.7,0.2,0.6,5.3,,
110992,I,7.6,0.18,0.6,4.9,,
110779,O,8.2,0.19,0.5,8.3,,
110779,I,8.1,0.2,0.4,6.1,,
110775,O,7.7,0.22,0.4,4.3,,
110775,I,7.7,0.23,0.5,5.8,,
122915,O,7.7,0.58,0.5,6.8,,
122915,I,7.9,0.55,0.6,3.1,,
122878,O,8,0.31,0.7,7.4,,
1222878,I,8,0.29,0.6,5.4,,
123059,O,7.8,1.4,0.6,6.9,,
123059,I,7.9,1.36,0.6,6.2,,
122914,O,7.8,1.23,0.7,6.3,,
122914,I,7.9,1.2,0.5,6.2,,
122767,O,7.5,11.1,0.6,5.4,,
122767,I,7.7,11.5,0.6,4.3,,
122924,O,7.8,2.9,0.6,5.5,,
122924,I,7.8,2.8,0.5,5,,
122904,O,7.9,0.51,0.5,4.3,,
122904,I,7.9,0.5,0.4,4,,
122945,O,7.9,1.17,0.5,6.1,,
122945,I,7.9,1.09,0.4,5.7,,
122908,O,7.7,1.72,0.6,5.2,,
122908,I,7.5,1.71,0.7,5.9,,
122789,O,8,1.6,0.6,5.3,,
122789,I,7.9,1.65,0.6,4.4,,
122787,O,7.8,0.79,0.8,5.2,,
122787,I,7.8,0.8,0.8,5.6,,
122633,O,7.9,0.98,0.4,4.3,,
122633,I,7.9,0.97,0.6,5.1,,
122789,O,8,1.33,0.5,5.5,,
122789,I,8,1.34,0.5,4.4,,
123056,O,7.8,1.15,0.7,5.3,,
123056,I,7.8,1.13,0.6,5.1,,
123055,O,7.8,0.33,0.6,4.8,,
123055,I,7.9,0.15,0.6,4.6,,
122977,O,7.9,0.34,0.4,5.8,,
122977,I,7.9,0.32,0.5,6.1,,
122878,O,7.9,0.32,0.5,5.5,,
122878,I,7.9,0.31,0.6,5.7,,
122631,O,7.9,0.84,0.6,5.3,,
122631,I,7.9,0.31,0.5,5.6,,
122760,O,7.9,0.3,0.5,5.4,,
122760,I,7.9,0.31,0.5,4.8,,
122761,O,7.8,0.52,0.5,4.7,,
122761,I,7.7,0.5,0.4,5.3,,
122896,O,7.7,0.3,0.6,4.9,,
122896,I,7.5,0.25,0.4,5.2,,
122893,O,7.7,0.34,0.6,6.1,,
122893,I,7.8,0.26,0.6,6,,
123058,O,7.9,0.66,0.4,7,,
123058,I,7.9,0.65,0.6,7.4,,
123767,O,7.8,0.65,0.5,5.4,,
123767,I,7.7,0.62,0.5,5.5,,
122632,O,7.8,0.35,0.5,6.2,,
122632,I,7.9,0.33,0.4,6.3,,
122790,O,7.9,0.44,0.6,6.2,,
122790,I,7.8,0.42,0.6,5.8,,
122956,O,8,0.11,0.5,4.3,,
122956,I,7.9,0.09,0.5,5.5,,
110075,O,7.6,0.34,0.5,5,,
110075,I,7.7,0.32,0.6,4.8,,
111023,O,8.1,0.1,0.4,5.8,,
111023,I,8.2,0.19,0.5,6.1,,
110736,O,7.9,0.19,0.5,5.7,,
110736,I,7.7,0.17,0.6,5.2,,
110995,O,7.7,0.12,0.5,5.9,,
110995,I,7.8,0.18,0.4,5.3,,
110863,O,7.5,0.16,0.6,4.4,,
110863,I,7.7,0.15,0.4,5.2,,
110767,O,8,0.1,0.6,5.6,,
110767,I,7.7,0.1,0.6,4.3,,
110892,O,7.9,0.12,0.3,5.1,,
110892,I,7.8,0.11,0.3,5.5,,
110993,O,7.7,0.15,0.4,5.5,,
110993,I,7.6,0.23,0.4,5.3,,
111023,O,8.1,0.1,0.5,5.1,,
110735,I,8,0.12,0.5,4.8,,
110735,O,7.8,0.14,0.4,4.6,,
110738,I,7.8,0.12,0.4,5.8,,
110862,O,7.5,0.22,0.6,6.1,,
110862,I,7.5,0.15,0.6,5.5,,
110779,O,7.9,0.16,0.5,5.7,,
110779,I,8,0.14,0.5,5.1,,
110734,O,7.7,0.12,0.6,5.6,,
110734,I,7.9,0.11,0.6,6,,
110994,O,7.7,0.11,0.6,4.8,,
110994,I,7.8,0.1,0.5,4.7,,
110991,O,7.8,0.19,0.5,5.3,,
110991,I,7.6,0.18,0.4,4.9,,
111024,O,7.8,0.16,0.5,7.3,,
111024,I,7.7,0.15,0.4,7,,
110073,O,7.8,0.3,0.5,5.6,,
110073,I,7.9,0.31,0.4,5.8,,
110077,O,8,0.33,0.6,6.8,,
110077,I,7.9,0.29,0.6,6.4,,
109481,O,8,0.21,0.5,5,,
109481,I,7.9,0.2,0.5,5.4,,
109524,O,7.8,0.39,0.4,6.9,,
109524,I,7.7,0.37,0.5,6.6,,
110063,O,7.9,0.26,0.5,6.3,,
110063,I,7.8,0.24,0.5,6.2,,
110055,O,7.8,0.39,0.7,5.4,,
110055,I,7.8,0.37,0.5,5,,
110078,O,7.9,0.32,0.6,5.5,,
110078,I,7.9,0.29,0.6,5,,
109479,O,8.1,0.21,0.3,4.3,,
109479,I,7.8,0.3,0.5,4,,
109480,O,7.8,0.28,0.4,6.1,,
109480,I,7.9,0.18,0.3,5.7,,
110056,O,7.7,0.24,0.5,5.2,,
110056,I,7.8,0.22,0.5,5.9,,
