,Formula_Index,P_Value
803,531.0,5.0
804,556.0,5.1
805,530.0,5.1
806,564.0,5.5
807,569.0,5.5
808,545.0,6.2
809,555.0,6.2
810,524.0,5.5
811,556.0,5.5
812,541.0,5.2
813,543.0,5.2
814,486.0,4.8
815,484.0,4.8
816,323.0,5.1
817,490.0,5.1
818,295.0,5.7
819,462.0,5.7
820,285.0,3.2
821,383.0,3.2
822,353.0,4.3
823,327.0,4.3
824,405.0,7.2
825,376.0,7.2
826,422.0,6.2
827,414.0,6.2
828,481.0,5.8
829,462.0,5.8
830,379.0,5.0
831,363.0,5.0
832,558.0,5.2
833,524.0,5.2
834,442.0,5.6
835,525.0,5.6
836,415.0,5.2
837,300.0,5.2
838,549.0,5.2
839,567.0,5.2
840,528.0,6.7
841,504.5,6.7
842,522.0,6.4
843,535.0,6.4
844,520.0,5.2
845,541.0,5.2
846,526.0,4.6
847,514.0,4.6
848,546.0,4.6
849,541.0,4.6
850,533.0,5.2
851,540.0,5.2
852,376.0,5.0
853,428.0,5.0
854,396.0,4.5
855,491.0,4.5
856,494.0,5.0
857,516.0,5.0
858,486.0,5.0
859,488.0,5.0
860,537.0,4.1
861,493.0,4.1
862,508.0,4.7
863,531.0,4.7
864,540.0,6.9
865,543.0,6.9
866,533.0,7.2
867,514.0,7.2
868,589.0,5.5
869,530.0,5.5
870,536.0,4.7
871,547.0,4.7
872,455.0,4.8
873,419.0,4.8
874,414.0,0.8
875,262.0,0.8
876,300.0,4.0
877,254.0,4.0
878,362.0,5.6
879,337.0,5.6
880,507.0,5.4
881,520.0,5.4
882,532.0,4.8
883,526.0,4.8
884,507.0,5.3
885,494.0,5.3
886,504.0,4.0
887,530.0,4.0
888,562.0,5.6
889,548.0,5.6
890,549.0,4.2
891,499.0,4.2
892,522.0,4.8
893,574.0,4.8
894,566.5,5.0
895,473.0,5.0
896,513.0,5.0
897,551.0,4.6
898,551.0,4.6
899,531.0,4.3
900,529.0,4.3
901,512.0,5.0
902,514.0,5.0
903,555.0,4.2
904,584.0,4.2
905,521.0,4.5
906,528.0,4.5
907,491.0,4.1
908,512.0,4.1
909,522.0,5.4
910,440.0,5.4
911,505.0,5.2
912,518.0,5.2
913,543.0,4.2
914,512.0,4.2
915,161.0,4.2
916,254.0,4.2
917,520.0,4.6
918,549.0,4.6
919,557.0,4.6
920,565.0,4.6
921,529.0,4.6
922,528.0,4.6
923,619.0,5.2
924,477.0,5.2
925,548.0,4.2
926,524.0,4.2
927,547.0,5.2
928,525.0,5.2
929,483.0,4.6
930,547.0,4.6
931,519.0,6.5
932,516.0,6.5
933,558.0,7.2
934,499.0,7.2
935,499.0,8.8
936,517.0,8.8
937,533.0,8.8
938,516.0,5.5
939,545.0,5.5
940,618.0,5.5
941,584.0,5.5
942,385.0,4.1
943,379.0,4.1
944,325.0,4.6
945,350.0,4.6
946,323.0,5.0
947,205.0,5.0
948,366.0,5.8
949,321.0,5.8
