,Formula_Index,EC_Value
1022,289.0,0.84
1023,341.0,1.5
1024,377.0,1.5
1025,230.0,1.02
1026,408.0,1.02
1027,335.0,1.21
1028,347.0,1.21
1029,355.0,1.05
1030,511.0,1.05
1031,436.0,1.08
1032,414.0,1.08
1033,311.0,0.86
1034,355.0,0.86
1035,431.0,0.85
1036,397.0,0.85
1037,354.0,1.55
1038,321.0,1.55
1039,420.0,0.86
1040,295.0,0.86
1041,382.0,0.408
1042,364.0,0.408
1043,293.0,1.72
1044,328.0,1.72
1045,413.0,1.05
1046,366.0,1.05
1047,355.0,1.72
1048,324.0,1.72
1049,263.0,0.96
1050,278.0,0.96
1051,399.0,0.93
1052,407.0,1.01
1053,555.0,0.431
1054,471.0,0.431
1055,462.0,0.82
1056,528.0,1.12
1057,486.0,0.96
1058,307.0,0.81
1059,347.0,0.81
1060,310.0,1.1
1061,397.0,1.1
1062,262.5,0.45
1063,365.0,0.45
